question|fortune
Will Donald Trump really run for president ?|Outlook not so good
Will the Chinese Stock Market continue to rise throughout 2015 ?|Reply hazy, try again
Will Donald Trump run for president of the united states ?|Cannot predict now
Will the USA and Cuba reestablish diplomatic relations ?|Better not tell you now
Will Arvind Kejriwal become the Chief Minister of New Delhi|Outlook good
Will the Seattle Seahawks defeat the New England Patriots in Super Bowl XLIX ?|Most likely
Will Mugabe retain power in Zimbabwe by elections in 2015 ?|Outlook good
Will google produce a doodle for La Tomatina 2015 ?|Outlook good
Will there be a stock market crash due to China ?|Without a doubt
Will Justin Gatlin beat Usain Bolt at the 2015 World Championships in Beijing ?|You may rely on it
Will the Giants win the World Series in 2014 ?|Without a doubt
Will the USA win the 2015 Women ' s World Cup ?|My reply is no
Did Serena Williams win the 2015 Miami Open ?|Yes
Will the Yankees make it back to the World Series in 2015 ?|Outlook good
Will the Royals finally make it to the World Series in 2014 ?|Reply hazy, try again
Will New Horizons make it to Pluto in 2015 ?|Outlook not so good
Will the Lakers make the Nba Finals in 2015 ?|Yes
Will Nick Clegg stand down as leader of the Liberal Democrats ?|Very doubtful
Will the Broncos win the Super Bowl ?|Concentrate and ask again
Will Donald Trump run for President of the United States of America ?|It is decidedly so
Did the New England Patriots win the Super Bowl in 2015 ?|It is decidedly so
Did the Chicago Blackhawks win the 2015 Stanley Cup playoffs ?|Cannot predict now
Will Phil Taylor win the 2015 World Darts Championship ?|Better not tell you now
Will Lebron James take the Cavaliers to the NBA Finals ?|Better not tell you now
Will Hillary Clinton run for the DNC ' s presidential nomination in 2015 ?|Concentrate and ask again
Will Peyton Manning retire before the 2015 NFL season ?|Without a doubt
Did Jordan Spieth win the 2015 Masters Golf Tournament ?|Better not tell you now
Will Seahawks win the Superbowl for the 2014 season ?|Concentrate and ask again
Will Ed Miliband stand down as the leader of the Labour party ?|Very doubtful
Will the FCC in the US pass Net Neutrality ?|Outlook not so good
Would Phil Jackson return to the NBA to coach the New York Knicks ?|Without a doubt
Will Australia win the 2015 Ashes ?|Better not tell you now
Did Serena Williams win the 2015 Australian Open ?|Reply hazy, try again
Will the San Antonio Spurs win the NBA championship ?|Concentrate and ask again
Will the Giants make it back to the World Series in 2014 ?|Cannot predict now
Will Jessica Ennis win the Heptathlon at the 2015 World Athletics Championships ?|Ask again later
Will senator Bernie Sanders run for president in 2015 ?|Without a doubt
Did the United States restore full diplomatic relations with Cuba in 2014 ?|Very doubtful
Did the Lightning win the Stanley Cup in 2015 ?|My reply is no
Will Hillary Clinton run for president ?|Very doubtful
Will the Seattle Seahawks win the superbowl ?|Yes
Will the San Francisco Giants win the 2014 World Series ?|It is decidedly so
Will the Chinese lower the value of their Yuan ?|Better not tell you now
Did the Blackhawks win the Stanley cup in 2015|Without a doubt
Will SOUTH AFRICA win cricket series against BANGLADESH ?|It is decidedly so
Will the Tampa Bay Lightning win the Stanley Cup in 2015 ?|Cannot predict now
